,samplingperiod,partishun,prop,z_pheno_mod
207,21,LS.II,0.009541985,-0.632216987
208,21,PS.I,0.025720165,-0.315329132
209,21,UGM.I,0.051282051,0.185360778
210,21,UGM.II,0.053867403,0.236001003
211,22,AB.I,0.027355623,-0.283294816
212,22,AB.II,0.018779343,-0.451281518
213,22,FS.I,0.019436346,-0.438412558
214,22,LG.I,0.021141649,-0.405010171
215,22,LG.II,0.048780488,0.136361751
216,22,LS.I,0.00990099,-0.625185019
217,22,LS.II,0.016260163,-0.500625609
218,22,PS.I,0.028665932,-0.257629329
219,22,UGM.I,0.041338583,-0.009405534
220,22,UGM.II,0.054054054,0.239656998
221,23,AB.I,0.015337423,-0.518699637
222,23,AB.II,0.022569444,-0.377043426
223,23,FS.I,0.024977698,-0.329872084
224,23,LG.I,0.033755274,-0.157942536
225,23,LG.II,0.036363636,-0.106851605
226,23,LS.I,0.01965602,-0.43410973
227,23,LS.II,0.034548944,-0.142396633
228,23,PS.I,0.017595308,-0.474473636
229,23,UGM.I,0.045275591,0.067710062
230,23,UGM.II,0.058626466,0.329218477
231,24,AB.I,0.058282209,0.322475389
232,24,AB.II,0.02862254,-0.258479252
233,24,FS.I,0.029903254,-0.233393445
234,24,LG.I,0.012711864,-0.570127408
235,24,LG.II,0.016194332,-0.501915057
236,24,LS.I,0.012522361,-0.573839273
237,24,LS.II,0.031007752,-0.211759248
238,24,PS.I,0.024525316,-0.338733054
239,24,UGM.I,0.028694405,-0.257071619
240,24,UGM.II,0.04353562,0.033628631
241,25,AB.I,0.049079755,0.142223598
242,25,AB.II,0.026315789,-0.303662413
243,25,FS.I,0.044808743,0.058565753
244,25,LG.I,0.010570825,-0.61206473
245,25,LG.II,0.013245033,-0.55968404
246,25,LS.I,0.047808765,0.117328264
247,25,LS.II,0.018666667,-0.453488545
248,25,PS.I,0.012158055,-0.580975079
249,25,UGM.I,0.018987342,-0.447207366
250,25,UGM.II,0.021276596,-0.402366921
251,26,AB.I,0.024615385,-0.336968857
252,26,AB.II,0.025943396,-0.310956614
253,26,FS.I,0.032305433,-0.186341097
254,26,LG.I,0.012903226,-0.566379143
255,26,LG.II,0.016574586,-0.494466892
256,26,LS.I,0.027777778,-0.275025919
257,26,LS.II,0.027777778,-0.275025919
258,26,PS.I,0.030534351,-0.221031921
259,26,UGM.I,0.018087855,-0.464825932
260,26,UGM.II,0.018927445,-0.448380589
261,27,AB.I,0.015479876,-0.515909362
262,27,AB.II,0.014056225,-0.543794934
263,27,FS.I,0.037825059,-0.07822619
264,27,LG.I,0.01910828,-0.4448385
265,27,LG.II,0.012722646,-0.569916219
266,27,LS.I,0.017632242,-0.473750198
267,27,LS.II,0.032692308,-0.178763246
268,27,PS.I,0.02274642,-0.373576951
269,27,UGM.I,0.024,-0.349022618
270,27,UGM.II,0.01552795,-0.514967716
271,28,AB.I,0.018461538,-0.457506465
272,28,AB.II,0.019230769,-0.442439264
273,28,FS.I,0.02848723,-0.261129625
274,28,LG.I,0.023622047,-0.356425715
275,28,LG.II,0.017660044,-0.473205624
276,28,LS.I,0.019455253,-0.438042221
277,28,LS.II,0.031818182,-0.195885066
278,28,PS.I,0.028169014,-0.267362632
279,28,UGM.I,0.029644269,-0.238466286
280,28,UGM.II,0.032882012,-0.175047447
281,29,AB.I,0.066037736,0.474385704
282,29,AB.II,0.045454545,0.071215316
283,29,FS.I,0.055281343,0.263696341
284,29,LG.I,0.029850746,-0.234421937
285,29,LG.II,0.035805627,-0.117781544
286,29,LS.I,0.06993007,0.550626258
287,29,LS.II,0.054669704,0.251715954
288,29,PS.I,0.029545455,-0.240401796
289,29,UGM.I,0.037623762,-0.082169061
290,29,UGM.II,0.027027027,-0.289731146
291,30,AB.I,0.097484277,1.090340462
292,30,AB.II,0.083844581,0.823174809
293,30,FS.I,0.056943057,0.296244942
294,30,LG.I,0.039344262,-0.048469008
295,30,LG.II,0.06097561,0.375232011
296,30,LS.I,0.066312997,0.47977735
297,30,LS.II,0.082949309,0.805638793
298,30,PS.I,0.064692982,0.448045533
299,30,UGM.I,0.048096192,0.122958209
300,30,UGM.II,0.038910506,-0.056965152
301,31,AB.I,0.040498442,-0.025861666
302,31,AB.II,0.071574642,0.582839088
303,31,FS.I,0.051511758,0.189860129
304,31,LG.I,0.038543897,-0.064146048
305,31,LG.II,0.038659794,-0.061875939
306,31,LS.I,0.053333333,0.225539981
307,31,LS.II,0.053364269,0.226145932
308,31,PS.I,0.074452555,0.639209802
309,31,UGM.I,0.031168831,-0.208604131
310,31,UGM.II,0.046391753,0.089572731
311,32,AB.I,0.06918239,0.53598118
312,32,AB.II,0.028747433,-0.256032927
313,32,FS.I,0.05277525,0.214608606
314,32,LG.I,0.036324786,-0.107612575
315,32,LG.II,0.033591731,-0.161145912
316,32,LS.I,0.050397878,0.168042157
317,32,LS.II,0.051044084,0.180699618
318,32,PS.I,0.04641776,0.090082144
319,32,UGM.I,0.024144869,-0.346185012
320,32,UGM.II,0.038986355,-0.055479472
321,33,AB.I,0.018867925,-0.449546434
322,33,AB.II,0.039014374,-0.054930655
323,33,FS.I,0.049493813,0.150333914
324,33,LG.I,0.040685225,-0.02220309
325,33,LG.II,0.036458333,-0.104996741
326,33,LS.I,0.069518717,0.542568931
327,33,LS.II,0.037296037,-0.088588331
328,33,PS.I,0.052631579,0.211794464
329,33,UGM.I,0.034257749,-0.148100386
330,33,UGM.II,0.023771791,-0.353492634
331,34,AB.I,0.022012579,-0.387950958
332,34,AB.II,0.025848142,-0.312822389
333,34,FS.I,0.048484848,0.130570957
334,34,LG.I,0.032119914,-0.189974921
335,34,LG.II,0.01814059,-0.463793007
336,34,LS.I,0.038054968,-0.073722875
337,34,LS.II,0.039719626,-0.04111662
338,34,PS.I,0.059245961,0.341352746
339,34,UGM.I,0.036553525,-0.103132191
340,34,UGM.II,0.028947368,-0.252116725
341,35,AB.I,0.028037383,-0.269940935
342,35,AB.II,0.028503563,-0.260809703
343,35,FS.I,0.065506653,0.463983192
344,35,LG.I,0.019271949,-0.441632669
345,35,LG.II,0.039267016,-0.049982065
346,35,LS.I,0.014705882,-0.531069858
347,35,LS.II,0.052132701,0.20202277
348,35,PS.I,0.034528552,-0.142796056
349,35,UGM.I,0.038834951,-0.058445063
350,35,UGM.II,0.025356577,-0.322450857
351,36,AB.I,0.053459119,0.2280038
352,36,AB.II,0.022058824,-0.387045143
353,36,FS.I,0.072227874,0.595634173
354,36,LG.I,0.030042918,-0.23065779
355,36,LG.II,0.04973822,0.155121195
356,36,LS.I,0.018907563,-0.448770021
357,36,LS.II,0.067915691,0.511169887
358,36,PS.I,0.056478405,0.287143642
359,36,UGM.I,0.039473684,-0.045933974
360,36,UGM.II,0.031496063,-0.202194523
361,37,AB.I,0.08125,0.772353818
362,37,AB.II,0.060714286,0.370113362
363,37,FS.I,0.066258919,0.478718107
364,37,LG.I,0.032188841,-0.188624826
365,37,LG.II,0.046728972,0.096177969
366,37,LS.I,0.063197026,0.418743694
367,37,LS.II,0.044496487,0.052449481
368,37,PS.I,0.034883721,-0.135839243
369,37,UGM.I,0.037848606,-0.077764976
370,37,UGM.II,0.027667984,-0.277176486
371,38,AB.I,0.1,1.139616843
372,38,AB.II,0.052785924,0.214817672
373,38,FS.I,0.055441478,0.266832981
374,38,LG.I,0.032188841,-0.188624826
375,38,LG.II,0.043280182,0.028625278
376,38,LS.I,0.06092437,0.374228354
377,38,LS.II,0.042154567,0.006577441
378,38,PS.I,0.0593963,0.344297498
379,38,UGM.I,0.04,-0.035624836
380,38,UGM.II,0.027888446,-0.272858217
381,39,AB.I,0.065625,0.466301297
382,39,AB.II,0.042553191,0.014385448
383,39,FS.I,0.034437086,-0.144587641
384,39,LG.I,0.030107527,-0.229392282
385,39,LG.II,0.034161491,-0.149985828
386,39,LS.I,0.029850746,-0.234421937
387,39,LS.II,0.037249284,-0.089504111
388,39,PS.I,0.046692607,0.095465675
389,39,UGM.I,0.052,0.199423499
390,39,UGM.II,0.021782178,-0.392463894
391,40,AB.I,0.034482759,-0.143693037
392,40,AB.II,0.037344398,-0.087641066
393,40,FS.I,0.051740357,0.194337788
394,40,LG.I,0.043010753,0.023347864
395,40,LG.II,0.034120735,-0.150784126
396,40,LS.I,0.038356164,-0.067823239
397,40,LS.II,0.054245283,0.243402669
398,40,PS.I,0.070391061,0.559655865
399,40,UGM.I,0.03815261,-0.071810323
400,40,UGM.II,0.027777778,-0.275025919
401,41,AB.I,0.066246057,0.478466161
402,41,AB.II,0.098121086,1.102813868
403,41,FS.I,0.082098062,0.788965107
404,41,LG.I,0.060344828,0.362876653
405,41,LG.II,0.052910053,0.217249035
406,41,LS.I,0.073170732,0.614102271
407,41,LS.II,0.088516746,0.914690206
408,41,PS.I,0.047138047,0.104190672
409,41,UGM.I,0.044444444,0.051430103
410,41,UGM.II,0.03777336,-0.079238842
411,42,AB.I,0.090909091,0.961549922
412,42,AB.II,0.164079823,2.394771482
413,42,FS.I,0.080291971,0.753588554
414,42,LG.I,0.077586207,0.700589779
415,42,LG.II,0.102902375,1.196466704
416,42,LS.I,0.107266436,1.28194715
417,42,LS.II,0.106639839,1.269673769
418,42,PS.I,0.038197845,-0.070924293
419,42,UGM.I,0.072874494,0.608299754
420,42,UGM.II,0.051485149,0.189338917
421,43,AB.I,0.150470219,2.128195267
422,43,AB.II,0.115079365,1.434981815
423,43,FS.I,0.09063893,0.956258186
424,43,LG.I,0.092672414,0.996088764
425,43,LG.II,0.103448276,1.207159468
426,43,LS.I,0.097285068,1.086438486
427,43,LS.II,0.111111111,1.357254191
428,43,PS.I,0.026281209,-0.304339754
429,43,UGM.I,0.084848485,0.842838641
430,43,UGM.II,0.050200803,0.164181982
431,44,AB.I,0.136507937,1.854710987
432,44,AB.II,0.139810427,1.919398052
433,44,FS.I,0.080375783,0.755230212
434,44,LG.I,0.106060606,1.258328124
435,44,LG.II,0.089041096,0.924960828
436,44,LS.I,0.070844687,0.568541186
437,44,LS.II,0.103365385,1.205535847
438,44,PS.I,0.052208835,0.203514033
439,44,UGM.I,0.097759674,1.095734771
440,44,UGM.II,0.075848303,0.666548835
441,45,AB.I,0.107594937,1.288381613
442,45,AB.II,0.058270677,0.322249509
443,45,FS.I,0.061076605,0.377210232
444,45,LG.I,0.034557235,-0.142234233
445,45,LG.II,0.034482759,-0.143693037
446,45,LS.I,0.065753425,0.468816798
447,45,LS.II,0.054968288,0.25756442
448,45,PS.I,0.043137255,0.025825709
449,45,UGM.I,0.04048583,-0.02610871
450,45,UGM.II,0.035856574,-0.116783624
451,46,AB.I,0.04375,0.037827768
452,46,AB.II,0.041928721,0.002153722
453,46,FS.I,0.039858282,-0.038400725
454,46,LG.I,0.025862069,-0.3125496
455,46,LG.II,0.031746032,-0.197298295
456,46,LS.I,0.021978022,-0.388627832
457,46,LS.II,0.019277108,-0.441531601
458,46,PS.I,0.031638418,-0.199406163
459,46,UGM.I,0.046938776,0.100287467
460,46,UGM.II,0.029880478,-0.233839569
461,47,AB.I,0,-0.819119289
462,47,AB.II,0.049418605,0.148860776
463,47,FS.I,0.024875622,-0.331871495
464,47,LG.I,0.025210084,-0.325320264
465,47,LG.II,0.020477816,-0.418012914
466,47,LS.I,0.012658228,-0.571178007
467,47,LS.II,0.016620499,-0.493567578
468,47,PS.I,0.034795764,-0.137562088
469,47,UGM.I,0.046357616,0.088904083
470,47,UGM.II,0.025882353,-0.31215229
471,48,AB.I,0.056521739,0.287992438
472,48,AB.II,0.038961039,-0.055975342
473,48,FS.I,0.02787068,-0.273206209
474,48,LG.I,0.018292683,-0.460813899
475,48,LG.II,0.020887728,-0.409983805
476,48,LS.I,0.00536193,-0.714093223
477,48,LS.II,0.006825939,-0.685417164
478,48,PS.I,0.026888604,-0.29244248
479,48,UGM.I,0.04008016,-0.034054707
480,48,UGM.II,0.02970297,-0.237316478
481,49,AB.I,0.06626506,0.478838389
482,49,AB.II,0.0432,0.02705472
483,49,FS.I,0.036866359,-0.097004586
484,49,LG.I,0.035175879,-0.13011663
485,49,LG.II,0.029661017,-0.238138233
486,49,LS.I,0.053784861,0.234384208
487,49,LS.II,0.051724138,0.194020089
488,49,NULL,0,-0.819119289
489,49,PS.I,0.028475712,-0.261355232
490,49,UGM.I,0.04028777,-0.029988186
491,49,UGM.II,0.025862069,-0.3125496
492,50,AB.I,0.099697885,1.133699211
493,50,AB.II,0.050632911,0.172645841
494,50,FS.I,0.032901296,-0.174669714
495,50,LG.I,0.033472803,-0.163475396
496,50,LG.II,0.0375,-0.08459324
497,50,LS.I,0.042895442,0.021089239
498,50,LS.II,0.042035398,0.004243244
499,50,PS.I,0.029115342,-0.248826575
500,50,UGM.I,0.04040404,-0.027710751
501,50,UGM.II,0.053488372,0.228576781
502,51,AB.I,0.060606061,0.367993518
503,51,AB.II,0.025862069,-0.3125496
504,51,FS.I,0.031766201,-0.196903237
505,51,LG.I,0.011019284,-0.603280597
506,51,LG.II,0.038461538,-0.065759239
507,51,LS.I,0.019685039,-0.433541311
508,51,LS.II,0.035947712,-0.114998458
509,51,PS.I,0.03085554,-0.214740679
510,51,UGM.I,0.04743833,0.110072424
511,51,UGM.II,0.03812825,-0.072287489
512,52,AB.I,0.055066079,0.259479902
513,52,AB.II,0.022494888,-0.3785038
514,52,FS.I,0.024456522,-0.340080561
515,52,LG.I,0.008223684,-0.658039015
516,52,LG.II,0.021791768,-0.392276064
517,52,LS.I,0.02617801,-0.30636114
518,52,LS.II,0.033492823,-0.163083264
519,52,PS.I,0.038002172,-0.074757024
520,52,UGM.I,0.038539554,-0.064231125
521,52,UGM.II,0.018648019,-0.45385381
522,53,AB.I,0.018348624,-0.459718164
523,53,AB.II,0.018789144,-0.451089536
524,53,FS.I,0.0440044,0.042810802
525,53,LG.I,0.012048193,-0.583126984
526,53,LG.II,0.026634383,-0.297422014
527,53,LS.I,0.034210526,-0.149025349
528,53,LS.II,0.02295082,-0.369573292
529,53,PS.I,0.041426928,-0.007675092
530,53,UGM.I,0.02676399,-0.294883342
531,53,UGM.II,0.037924152,-0.076285227
532,54,AB.I,0.059090909,0.338315698
533,54,AB.II,0.026642984,-0.297253535
534,54,FS.I,0.060556465,0.367022067
535,54,LG.I,0.03817734,-0.071325938
536,54,LG.II,0.042635659,0.016000767
537,54,LS.I,0.077227723,0.693568021
538,54,LS.II,0.047694754,0.115095082
539,54,PS.I,0.030685921,-0.218063076
540,54,UGM.I,0.091210614,0.967455956
541,54,UGM.II,0.021825397,-0.391617356
542,55,AB.II,0.085158151,0.848904181
543,55,FS.I,0.077694236,0.702705776
544,55,LG.I,0.147058824,2.061375023
545,55,LG.II,0.106109325,1.259282394
546,55,LS.I,0.05952381,0.346795075
547,55,LS.II,0.075409836,0.657960417
548,55,PS.I,0.019672131,-0.433794149
549,55,UGM.I,0.058411215,0.325002283
550,55,UGM.II,0.06374502,0.429477448
551,56,AB.I,0.128787879,1.703495427
552,56,AB.II,0.09380531,1.018279206
553,56,FS.I,0.075144509,0.652763353
554,56,LG.I,0.09913259,1.122626567
555,56,LG.II,0.094688222,1.035573122
556,56,LS.I,0.088362069,0.911660483
557,56,LS.II,0.07827476,0.714076725
558,56,PS.I,0.029100529,-0.249116711
559,56,UGM.I,0.104448743,1.226755975
560,56,UGM.II,0.077844311,0.705645365
561,57,AB.I,0.04040404,-0.027710751
562,57,AB.II,0.101694915,1.17281576
563,57,FS.I,0.102628285,1.191098018
564,57,LG.I,0.055785124,0.27356409
565,57,LG.II,0.062355658,0.402263518
566,57,LS.I,0.082539683,0.797615296
567,57,LS.II,0.05982906,0.352774123
568,57,PS.I,0.033096927,-0.170837827
569,57,UGM.I,0.131178707,1.750325447
570,57,UGM.II,0.083168317,0.809928583
571,58,AB.I,0.124242424,1.614461966
572,58,AB.II,0.067209776,0.497342877
573,58,FS.I,0.046396841,0.089672401
574,58,LG.I,0.013812155,-0.548575625
575,58,LG.II,0.027842227,-0.273763522
576,58,LS.I,0.03562341,-0.121350693
577,58,LS.II,0.040598291,-0.023905902
578,58,PS.I,0.027455121,-0.281345906
579,58,UGM.I,0.076335878,0.676099132
580,58,UGM.II,0.035785288,-0.118179918
581,59,AB.I,0.089605735,0.936020614
582,59,AB.II,0.052713178,0.21339278
583,59,FS.I,0.024267782,-0.343777467
584,59,LG.I,0.015837104,-0.50891221
585,59,LG.II,0.018561485,-0.455548778
586,59,LS.I,0.026954178,-0.291158068
587,59,LS.II,0.039823009,-0.039091626
